# 601 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    sin                     cos
2.561724703496062e-08   4.644569907056792e-07   1.582031406961812e-05
2.817023254594732e-08  -5.177839547050174e-07  -1.579770001003802e-05
3.097764567011258e-08   5.748940271338283e-07   1.578819150667827e-05
3.406484237209804e-08  -6.367794146115784e-07  -1.576669107885469e-05
3.745970556295245e-08   7.045100842150862e-07   1.575546447182241e-05
4.119289693271730e-08  -7.790327824396196e-07  -1.572497066339458e-05
4.529813388035942e-08   8.608484724152268e-07   1.570306689826559e-05
4.981249404222491e-08  -9.496971114086013e-07  -1.565481680735495e-05
5.477675016944901e-08   1.044466202061779e-06   1.561443687682504e-05
6.023573837886479e-08  -1.143447813205447e-06  -1.554002127587872e-05
6.623876310337785e-08   1.244838256819165e-06   1.547327409568208e-05
7.284004239922980e-08  -1.347224367354159e-06  -1.536401629466096e-05
8.009919763207375e-08   1.449857674959308e-06   1.526346556783772e-05
8.808179196460557e-08  -1.552692050090939e-06  -1.511208458166825e-05
9.685992250925397e-08   1.656284432144049e-06   1.497331870364205e-05
1.065128714941292e-07  -1.761657935230017e-06  -1.477700933020661e-05
1.171278223234277e-07   1.870158450548530e-06   1.460192305213648e-05
1.288006469995941e-07  -1.983294246648629e-06  -1.436526806621614e-05
1.416367720190751e-07   2.102564089914738e-06   1.416405436732868e-05
1.557521305622528e-07  -2.229310757737318e-06  -1.389931142786357e-05
1.712742095775383e-07   2.364640578735712e-06   1.368858420619113e-05
1.883432012166641e-07  -2.509421909265687e-06  -1.341135768980989e-05
2.071132690207019e-07   2.664342794306071e-06   1.320792624324585e-05
2.277539402927298e-07  -2.829989595555780e-06  -1.293001292298771e-05
2.504516372327622e-07   3.006913251480532e-06   1.274452507005725e-05
2.754113606638370e-07  -3.195669426252227e-06  -1.246972405316815e-05
3.028585415563174e-07   3.396840866305719e-06   1.230566665969634e-05
3.330410770729809e-07  -3.611055321786113e-06  -1.203159173372814e-05
3.662315695240386e-07   3.839005622943003e-06   1.188911230508952e-05
4.027297884538403e-07  -4.081466199752818e-06  -1.161136505738162e-05
4.428653780963272e-07   4.339299875122917e-06   1.149057302365972e-05
4.870008346523962e-07  -4.613450428457505e-06  -1.120363603483696e-05
5.355347802793109e-07   4.904927295032445e-06   1.110297393482285e-05
5.889055633621554e-07  -5.214791189335373e-06  -1.079673875747435e-05
6.475952175842209e-07   5.544154913168186e-06   1.071049225922322e-05
7.121338155538044e-07  -5.894199596087268e-06  -1.037103169734520e-05
7.831042563084790e-07   6.266202436970297e-06   1.029506610873251e-05
8.611475299365608e-07  -6.661558018637908e-06  -9.913414172350665e-06
9.469685068647088e-07   7.081789842986133e-06   9.853838815402886e-06
1.041342304099322e-06  -7.528541872478548e-06  -9.429895155274106e-06
1.145121285920239e-06   8.003556903467527e-06   9.401019443495364e-06
1.259242762255579e-06  -8.508633786866912e-06  -8.936116237280648e-06
1.384737454267802e-06   9.045592479497848e-06   8.951736859302795e-06
1.522738803610367e-06  -9.616261203948259e-06  -8.440916793077236e-06
1.674493209434266e-06   1.022252155096364e-05   8.510455779325827e-06
1.841371285602920e-06  -1.086637486515759e-05  -7.942012711706528e-06
2.024880239788189e-06   1.155001875448423e-05   8.074254802299430e-06
2.226677486252946e-06  -1.227587080100554e-05  -7.434696467270500e-06
2.448585615267984e-06   1.304657346345800e-05   7.642816648842507e-06
2.692608854363838e-06  -1.386495308148081e-05  -6.918274083303935e-06
2.960951170092142e-06   1.473401813880603e-05   7.219396629313773e-06
3.256036173787822e-06  -1.565694756839281e-05  -6.393381389861308e-06
3.580529011116689e-06   1.663715077238186e-05   6.808760999173057e-06
3.937360433110378e-06  -1.767828071402171e-05  -5.862982745189440e-06
4.329753266092978e-06   1.878429914657035e-05   6.420912162430656e-06
4.761251519570304e-06  -1.995943733557077e-05  -5.335713799060760e-06
5.235752394978102e-06   2.120823415569920e-05   6.071284246368857e-06
5.757541484385375e-06  -2.253544922314025e-05  -4.821133024426985e-06
6.331331477060257e-06   2.394611992736814e-05   5.772463577807342e-06
6.962304723487946e-06  -2.544545960035184e-05  -4.321022275907003e-06
7.656160041269817e-06   2.703898640450181e-05   5.529510962731191e-06
8.419164185644976e-06  -2.873242934495659e-05  -3.829927285455952e-06
9.258208449505048e-06   3.053195355337805e-05   5.343778894081914e-06
1.018087090410152e-05  -3.244401714882796e-05  -3.336693302950008e-06
1.119548484259094e-05   3.447565672741261e-05   5.209285671709436e-06
1.231121404458520e-05  -3.663422383697410e-05  -2.816335852100177e-06
1.353813554148094e-05   3.892776251925333e-05   5.106229736488585e-06
1.488733063008695e-05  -4.136460370865096e-05  -2.229987964713504e-06
1.637098495656519e-05   4.395390868232029e-05   5.010932531520813e-06
1.800249857462311e-05  -4.670507008308927e-05  -1.543767484139696e-06
1.979660697197936e-05   4.962849974172098e-05   4.922735592097522e-06
2.176951415818827e-05  -5.273474506074496e-05  -7.574543683946134e-07
2.393903901584477e-05   5.603563317932190e-05   4.885997308252075e-06
2.632477623698299e-05  -5.954297078623826e-05   9.309770668397733e-08
2.894827329821157e-05   6.327020804601162e-05   4.968655041908437e-06
3.183322507298884e-05  -6.723052637483463e-05   9.775704093164090e-07
3.500568783873448e-05   7.143925882610647e-05   5.216977163380675e-06
3.849431461164446e-05  -7.591107995451901e-05   1.906257524947388e-06
4.233061393470499e-05   8.066353015734433e-05   5.642346953332102e-06
4.654923445622278e-05  -8.571288970904039e-05   2.923434481029140e-06
5.118827786912642e-05   9.107931287869562e-05   6.244458469628350e-06
5.628964303744043e-05  -9.678077219329197e-05   4.079413856303055e-06
6.189940441800879e-05   1.028405413088340e-04   7.038520026498571e-06
6.806822819529511e-05  -1.092783140000057e-04   5.414680217443503e-06
7.485182988770060e-05   1.161211203441987e-04   8.060494944331253e-06
8.231147755840270e-05  -1.233903142846576e-04   6.968312913592730e-06
9.051454517561093e-05   1.311175090992165e-04   9.355185156130350e-06
9.953512112007229e-05  -1.393255189054305e-04   8.792176223384357e-06
1.094546773357366e-04   1.480516242987183e-04   1.097045865548069e-05
1.203628051672132e-04  -1.573196597933747e-04   1.095322333207534e-05
1.323580245299439e-04   1.671739880388771e-04   1.296417738420366e-05
1.455486737213506e-04  -1.776386459079633e-04   1.352799587425616e-05
