# 201 point Fourier filter, Sine and Cosine
# =========================================
#
# Designed and tested for controlled-source electromagnetic data.
#
# See the notebook `Filter-wer201-SineCosine.ipynb` in the repo
# https://github.com/emsig/article-fdesign
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2018 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       sin                        cos
2.629106797731266872e-03   2.401437976824659870e+00  -5.470236824045412449e-01
2.801002814800225473e-03  -3.723853894859470604e+00   1.783691484535490923e-01
2.984137721331441180e-03   1.382537006886076503e+00   2.184997088297455925e-01
3.179246337354480444e-03   2.370735941062457108e+00  -2.703867301054241890e-01
3.387111526833999544e-03  -4.976531306337488303e+00   4.291444385932342842e-02
3.608567338873870829e-03   5.544954857015694571e+00   1.821463534235072956e-01
3.844502354299194225e-03  -4.610996414674657373e+00  -2.285966849528768274e-01
4.095863251044254763e-03   3.104957888620444084e+00   1.172898919699670167e-01
4.363658602652328508e-03  -1.689894837928676230e+00   4.585753517862816570e-02
4.648962925128658115e-03   6.362841589000829412e-01  -1.734884842340351507e-01
4.952920988384388636e-03   4.269876852942076223e-02   2.420052409991533815e-01
5.276752409570934464e-03  -4.347365467243858861e-01  -2.632645802039400573e-01
5.621756546735310993e-03   6.368230354563706452e-01   2.634437786605881571e-01
5.989317712431974604e-03  -7.224826131661619133e-01  -2.543904112281232255e-01
6.380910728210581299e-03   7.394864563227565579e-01   2.414759697232729818e-01
6.798106842266691228e-03  -7.169451781639669674e-01  -2.167903305721933516e-01
7.242580033999817916e-03   6.726142831266894717e-01   1.782234703187357550e-01
7.716113730775488004e-03  -6.176286708977171136e-01  -1.207093308766017808e-01
8.220607963842007510e-03   5.593059097508875643e-01   5.238591854051308921e-02
8.758086992114725439e-03  -5.024540699856938630e-01   2.101937706239160458e-02
9.330707424417848672e-03   4.502874089397652657e-01  -8.205899349405729182e-02
9.940766872773940110e-03  -4.047754538104190170e-01   1.217490125914846844e-01
1.059071317146193479e-02   3.671613115280718542e-01  -1.243057435980871039e-01
1.128315419883481677e-02  -3.380205285617136624e-01   8.925326785323473011e-02
1.202086834130642462e-02   3.176297781124143293e-01  -1.197542777363710259e-02
1.280681564149370281e-02  -3.057816119259073040e-01  -9.411589519093271905e-02
1.364414967524573384e-02   3.020389980482354186e-01   2.226539819459654179e-01
1.453623020521557785e-02  -3.053441609083717978e-01  -3.515036088488430188e-01
1.548663666174684810e-02   3.142980886112791139e-01   4.723916083320663928e-01
1.649918250516621207e-02  -3.267373735781202715e-01  -5.648009382725582839e-01
1.757793052711013188e-02   3.402924254351268329e-01   6.281378410686478952e-01
1.872720915228142172e-02  -3.520946252143826172e-01  -6.498269903479136911e-01
1.995162980604581540e-02   3.597019585892426985e-01   6.393881827291567621e-01
2.125610541755505387e-02  -3.607855810890421844e-01  -5.903143114126785385e-01
2.264587013263949511e-02   3.541927146746004507e-01   5.178444980998966329e-01
2.412650031556731398e-02  -3.392379786805311270e-01  -4.159184044784761114e-01
2.570393692393855775e-02   3.166736607814501503e-01   3.011361581004878829e-01
2.738450934649269003e-02  -2.873974274459754064e-01  -1.653502055950212823e-01
2.917496079947733828e-02   2.534475603967050183e-01   2.679993636106233271e-02
3.108247538348008279e-02  -2.162670184446815469e-01   1.231050358847645410e-01
3.311470690928752791e-02   1.780946341788273712e-01  -2.620070570715944402e-01
3.527980960843404845e-02  -1.399599618236394283e-01   3.979541917044093213e-01
3.758647085166469393e-02   1.037417000579121673e-01  -5.050351957904937183e-01
4.004394600659374331e-02  -6.980076990760206157e-02   5.939080965935787937e-01
4.266209557442330463e-02   3.974340704169630062e-02  -6.389617017820733436e-01
4.545142475473155919e-02  -1.337081414604415590e-02   6.578511160289026716e-01
4.842312559708220054e-02  -7.835713147008854101e-03  -6.279272896200912557e-01
5.158912190858661040e-02   2.472604233775106686e-02   5.755609022845959988e-01
5.496211709760797509e-02  -3.602200422747026815e-02  -4.806012864158701881e-01
5.855564514557817790e-02   4.344154450361691067e-02   3.772773596231853710e-01
6.238412491144922772e-02  -4.586139278975623346e-02  -2.455062360396894072e-01
6.646291798667318396e-02   4.582602331688232639e-02   1.252106164465529026e-01
7.080839033285123152e-02  -4.198518259078116294e-02   7.031777406416658480e-03
7.543797794936972501e-02   3.750076247081023800e-02  -1.081514962677906089e-01
8.037025683451147484e-02  -3.037767966256394933e-02   2.081980977200381666e-01
8.562501752075796224e-02   2.437825352573923243e-02  -2.626238149553516421e-01
9.122334448335193968e-02  -1.663422119827851625e-02   3.101820367649059107e-01
9.718770074074291332e-02   1.173080992555552114e-02  -3.049965798519480020e-01
1.035420179863716650e-01  -5.738123795222167117e-03   2.953010292408342896e-01
1.103117926134421778e-01   4.309572020651100850e-03  -2.327694824893326020e-01
