# 101 point Hankel filter, J0 and J1
# ==================================
#
# Designed and tested for controlled-source electromagnetic data.
#
#
# > Key, K., 2009;
# > 1D inversion of multicomponent, multifrequency marine CSEM data:
# > Methodology and synthetic studies for resolving thin resistive layers;
# > Geophysics, 74(2), F9-F20;
# > DOI: 10.1190/1.3058434
#
#
# Copyright 2009 Kerry Key
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                    j0                      j1
3.182780796509667e-03   1.761499629714979e+00   3.382421751388876e-04
3.570677233218250e-03  -1.261104080802587e+01  -2.080089427136974e-03
4.005847942090417e-03   4.589440735380221e+01   6.616516890510206e-03
4.494054401183452e-03  -1.137201615271146e+02  -1.444442106541980e-02
5.041760259690979e-03   2.171373845748458e+02   2.445603365138576e-02
5.656216913953108e-03  -3.427418757004401e+02  -3.439020151920317e-02
6.345559512909110e-03   4.682970092296048e+02   4.205277853503258e-02
7.118914664064660e-03  -5.721810218704758e+02  -4.616883971957859e-02
7.986521265955502e-03   6.404705872914975e+02   4.665044563723574e-02
8.959866066878890e-03  -6.689903305418517e+02  -4.417942425707860e-02
1.005183574463358e-02   6.614840943418809e+02   3.983124989286448e-02
1.127688752074056e-02  -6.261458042620394e+02  -3.456241855974430e-02
1.265124056800531e-02   5.724742839763362e+02   2.919015247012813e-02
1.419309074557768e-02  -5.091188391804840e+02  -2.413480064473489e-02
1.592285150451168e-02   4.429121852279642e+02   1.973163931127073e-02
1.786342415331403e-02  -3.786064826795332e+02  -1.595784764119277e-02
2.004050106168401e-02   3.191588258655895e+02   1.292753867241687e-02
2.248290581673552e-02  -2.660734942256455e+02  -1.040069021237603e-02
2.522297483522721e-02   2.198909349916423e+02   8.496859564365926e-03
2.829698548418685e-02  -1.804655347160418e+02  -6.857608112687733e-03
3.174563637806794e-02   1.473251045730838e+02   5.734515396281575e-03
3.561458621137186e-02  -1.197617622162473e+02  -4.635710275375116e-03
3.995505826065390e-02   9.706708172663220e+01   4.034369992101164e-03
4.482451855926687e-02  -7.848237715099181e+01  -3.217728935403965e-03
5.028743672359186e-02   6.337970122621439e+01   2.990802607299357e-03
5.641613950377735e-02  -5.112377096515730e+01  -2.269398404454681e-03
6.329176835964070e-02   4.125319165745542e+01   2.363714769044985e-03
7.100535373963698e-02  -3.328022871692455e+01  -1.583785021876379e-03
7.965902028589801e-02   2.690546850964645e+01   2.025371816097564e-03
8.936733892175319e-02  -2.176077775919447e+01  -1.027952174606392e-03
1.002588437228037e-01   1.767900438275361e+01   1.922153595502174e-03
1.124777336542896e-01  -1.437298500741315e+01  -5.043945522132147e-04
1.261857817050387e-01   1.177821110514306e+01   2.054567905217619e-03
1.415644766941340e-01  -9.653214292533669e+00   7.633835394740574e-05
1.588174261069207e-01   8.014188621856462e+00   2.471902278652444e-03
1.781730517728984e-01  -6.636716121370467e+00   8.190345324336234e-04
1.998876140751445e-01   5.605112419659892e+00   3.277371965548541e-03
2.242486047305353e-01  -4.690136885102554e+00   1.870779100759767e-03
2.515785530597565e-01   4.040369173672801e+00   4.642867014031185e-03
2.822392961405233e-01  -3.404103887583860e+00   3.454727180711420e-03
3.166367693790532e-01   2.995747642598741e+00   6.839165720545689e-03
3.552263809249515e-01  -2.524176278751386e+00   5.911273173907802e-03
3.985190410845142e-01   2.274303867444810e+00   1.028566504388743e-02
4.470879265593564e-01  -1.898578152750098e+00   9.752018620581887e-03
5.015760690660555e-01   1.759903177266298e+00   1.561636209584471e-02
5.627048688069557e-01  -1.438255316175359e+00   1.572789508971819e-02
6.312836455069260e-01   1.383718859899911e+00   2.375132082749520e-02
7.082203534678000e-01  -1.090411693791455e+00   2.489168113861482e-02
7.945336025033340e-01   1.103187499775871e+00   3.593610268802203e-02
8.913661439068313e-01  -8.232645366851894e-01   3.858602166700044e-02
1.000000000000000e+00   8.897253309567960e-01   5.363612015669736e-02
1.121873437571938e+00  -6.181710614766990e-01   5.817318184012853e-02
1.258600009929478e+00   7.214321035775552e-01   7.800216974165830e-02
1.411989919667659e+00  -4.660523646863802e-01   8.408281670359681e-02
1.584073984994482e+00   5.784691305884657e-01   1.083042686943279e-01
1.777130526914038e+00  -3.658095952962029e-01   1.133712057428050e-01
1.993715533243082e+00   4.407748104824833e-01   1.383564865699443e-01
2.236696498819987e+00  -3.217298446491200e-01   1.348125772346644e-01
2.509290389936297e+00   2.909042759264825e-01   1.504073961323417e-01
2.815106235624064e+00  -3.338253349563184e-01   1.224262032649067e-01
3.158192909689768e+00   1.293953529828388e-01   1.106446266767018e-01
3.543092736108982e+00  -3.718639185374572e-01   3.772825296930285e-02
3.974901627494749e+00   8.698186744359777e-03  -1.353204196275998e-02
4.459336552847826e+00  -3.389828291018994e-01  -1.266046406313744e-01
5.002811227833588e+00   4.963953772877858e-02  -1.730074119319237e-01
5.612521029693157e+00  -1.147290346722791e-01  -2.327661941998823e-01
6.296538261026657e+00   2.818501136331604e-01  -1.312677137162940e-01
7.063919023701211e+00   1.360129862128020e-01  -1.104509755532312e-02
7.924823117849490e+00   2.683528605579231e-01   2.294237929047981e-01
8.890648553371371e+00  -1.505769588191184e-01   2.327988918717147e-01
9.974182454814724e+00  -2.031064772010313e-01   9.149367519642598e-02
1.118977035755271e+01  -2.437687529694006e-01  -3.004964869169849e-01
1.255350613666823e+01   2.876770799753536e-01  -1.797040516746428e-01
1.408344508312441e+01   2.011329588874316e-01   1.817308988818578e-01
1.579984294826040e+01  -2.275463527816749e-01   2.935346562382805e-01
1.772542412146164e+01  -1.749917271598988e-01  -4.502465801331593e-01
1.988568249156473e+01   4.306671898041470e-01   2.151483212376926e-01
2.230921897527583e+01  -3.992878212851492e-01   4.924585434461976e-02
2.502812018133782e+01   2.550550974806911e-01  -1.679842097056792e-01
2.807838322380105e+01  -1.336748872779371e-01   1.754997616383300e-01
3.150039230874794e+01   6.423008702535922e-02  -1.428351980172456e-01
3.533945340427969e+01  -3.108808914792973e-02   1.076274808049898e-01
3.964639407257260e+01   1.639821648563433e-02  -8.030885482867917e-02
4.447823640552875e+01  -9.842274279418138e-03   6.079630210587774e-02
4.989895197340787e+01   6.685502920904526e-03  -4.687267027003955e-02
5.598030878164415e+01  -4.955006305606947e-03   3.664115351116358e-02
6.280282144920171e+01   3.851240446211632e-03  -2.884253032421485e-02
7.045681718843254e+01  -3.047184325211406e-03   2.269535305564210e-02
7.904363169956446e+01   2.405935290382968e-03  -1.772060472957579e-02
8.867695081296063e+01  -1.869259018281964e-03   1.362455706705945e-02
9.948431564193386e+01   1.412821020240033e-03  -1.022825775681532e-02
1.116088111737080e+02  -1.027340635931714e-03   7.424720522409015e-03
1.252109606547652e+02   7.099124273512882e-04  -5.150709666353805e-03
1.404708508514462e+02  -4.593396038963651e-04   3.365543012321504e-03
1.575905163233670e+02   2.731571829548821e-04  -2.033399376196629e-03
1.767966142764323e+02  -1.457155899557221e-04   1.108895838202336e-03
1.983434254093812e+02   6.748422483369748e-05  -5.283266194475448e-04
2.225162204838159e+02  -2.590402870915282e-05   2.099779511098949e-04
2.496350371896939e+02   7.676168023731497e-06  -6.484566005000160e-05
2.800589173104007e+02  -1.549433571510781e-06   1.372984806560325e-05
3.141906602856942e+02   1.584912057504873e-07  -1.482645851470641e-06
