# 2001 point Hankel filter, J0 and J1
# ===================================
#
# Designed and tested for ground-penetrating radar (GPR).
#
# See the notebook `Filter-wer2001.ipynb` in the repo
# https://github.com/emsig/article-fdesign
#
#
# > Werthmüller, D., K. Key, and E. Slob, 2019;
# > A tool for designing digital filters for the Hankel and Fourier
# > transforms in potential, diffusive, and wavefield modeling;
# > Geophysics, 84(2), F47-F56;
# > DOI: 10.1190/geo2018-0069.1
#
#
# Copyright 2018 Dieter Werthmüller
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                       j0                         j1
8.556506461645961223e-04   6.520482385360379089e-06   1.693533406536473525e-09
8.624766400081022204e-04   6.713315339983813956e-06   1.717302510179025116e-09
8.693570885430882984e-04   6.633441691246970693e-06   1.782774985667205758e-09
8.762924261844531578e-04   6.800856733750024845e-06   1.814067958261982415e-09
8.832830908126611084e-04   6.758164372388135780e-06   1.871448784461132001e-09
8.903295238013886901e-04   6.885457025978088257e-06   1.916393178026090567e-09
8.974321700453919207e-04   6.889710892111192123e-06   1.961453457014754584e-09
9.045914779885963486e-04   6.969023195117036309e-06   2.021817776016086401e-09
9.118078996524099080e-04   7.027400496184876740e-06   2.055957427305703927e-09
9.190818906642630234e-04   7.052523565762162429e-06   2.127388745607527480e-09
9.264139102863756369e-04   7.167711847294751678e-06   2.157715313715080989e-09
9.338044214447540877e-04   7.142697184386205708e-06   2.231440471778952125e-09
9.412538907584189251e-04   7.300625834499551593e-06   2.267520620661247266e-09
9.487627885688662598e-04   7.251053341199743033e-06   2.334638888174909040e-09
9.563315889697636277e-04   7.415371452171440706e-06   2.383831483931269337e-09
9.639607698368839444e-04   7.384698868490724641e-06   2.439652693352082985e-09
9.716508128582763580e-04   7.510651219200372538e-06   2.503713009093162514e-09
9.794022035646797464e-04   7.537732984636463161e-06   2.549784604886019886e-09
9.872154313601774495e-04   7.599263017670329401e-06   2.624397333116580442e-09
9.950909895530973565e-04   7.692008814615939702e-06   2.667460195997148392e-09
1.003029375387157890e-03   7.701781170133024603e-06   2.744547129055256998e-09
1.011031090072863139e-03   7.827933856056453941e-06   2.793347515598125067e-09
1.019096638819147905e-03   7.833334059028463714e-06   2.864696056106800485e-09
1.027226530865275357e-03   7.937557798360047917e-06   2.926345152162944991e-09
1.035421279512988837e-03   7.993154537877630018e-06   2.986898361111240875e-09
1.043681402158921261e-03   8.030412129433151124e-06   3.064201037290004016e-09
1.052007420327261480e-03   8.164374096014982504e-06   3.113943318676037051e-09
1.060399859702683021e-03   8.128096448685088695e-06   3.204376498673033732e-09
1.068859250163533463e-03   8.324007221644858981e-06   3.248480954862318837e-09
1.077386125815289232e-03   8.251529166936986818e-06   3.344887287641712768e-09
1.085981025024281661e-03   8.456280220354800574e-06   3.392242961976331989e-09
1.094644490451682608e-03   8.409225175931994847e-06   3.485001145065867042e-09
1.103377069087769580e-03   8.560979510763412441e-06   3.545451733725210419e-09
1.112179312286461913e-03   8.593427540257439696e-06   3.625688379074559780e-09
1.121051775800130379e-03   8.652527832212753407e-06   3.706557696892522900e-09
1.129995019814687175e-03   8.785328216906513560e-06   3.769642823011842336e-09
1.139009608984954550e-03   8.751563402490823620e-06   3.872512032807278579e-09
1.148096112470315105e-03   8.965175542058019799e-06   3.920681280547133306e-09
1.157255103970647675e-03   8.874751957483408726e-06   4.039699760164174863e-09
1.166487161762549442e-03   9.121102589386965073e-06   4.082517083980065028e-09
1.175792868735846437e-03   9.028398873488736602e-06   4.205375248531663366e-09
1.185172812430396573e-03   9.252518148607440476e-06   4.257246822705968611e-09
1.194627585073184317e-03   9.208104768847765966e-06   4.369090489495496926e-09
1.204157783615713738e-03   9.367827981889432958e-06   4.444186908118939818e-09
1.213764009771697546e-03   9.402913061892880355e-06   4.533423490086801316e-09
1.223446870055048619e-03   9.479312441898881262e-06   4.639717903948524251e-09
1.233206975818173373e-03   9.600511096745344356e-06   4.703480820977799354e-09
1.243044943290571311e-03   9.598550724224514836e-06   4.838442836376431855e-09
1.252961393617742268e-03   9.790726382280679093e-06   4.885154079426855040e-09
1.262956952900403306e-03   9.734152267337267000e-06   5.035362888127118463e-09
1.273032252234020676e-03   9.966701755020051305e-06   5.082733694800219652e-09
1.283187927748654028e-03   9.891360763527023834e-06   5.228212211842000740e-09
1.293424620649121773e-03   1.012493942897828125e-05   5.296902419028376494e-09
1.303742977255483446e-03   1.007197714448170634e-05   5.418882133779994111e-09
1.314143649043848219e-03   1.026568358299831788e-05   5.524094899169394868e-09
1.324627292687506923e-03   1.027358087373556400e-05   5.613158479159161739e-09
1.335194570098392807e-03   1.039396200691022368e-05   5.757683520113588318e-09
1.345846148468873198e-03   1.048851272239173476e-05   5.818700682961820175e-09
1.356582700313874439e-03   1.052015361686326969e-05   5.990646578147940802e-09
1.367404903513342283e-03   1.070418643178916488e-05   6.041999824361677922e-09
1.378313441355041857e-03   1.065845018697189241e-05   6.218658977645785365e-09
1.389309002577701537e-03   1.090604510200128980e-05   6.285585710970750342e-09
1.400392281414492924e-03   1.082255368055476258e-05   6.442264347045322209e-09
1.411563977636866871e-03   1.108290842012028022e-05   6.546741637784699832e-09
1.422824796598734075e-03   1.101984060137292165e-05   6.667099517910283067e-09
1.434175449280999980e-03   1.123257020883199320e-05   6.818401904921264871e-09
1.445616652336454214e-03   1.124678130644780281e-05   6.901938087664107114e-09
1.457149128135017818e-03   1.136459898715862495e-05   7.091985831625553694e-09
1.468773604809352597e-03   1.148848472284270932e-05   7.155264700763562369e-09
1.480490816300833673e-03   1.149813029894855882e-05   7.361059226652629910e-09
1.492301502405887640e-03   1.172355278052431265e-05   7.431772386121153619e-09
1.504206408822703457e-03   1.165475998845965334e-05   7.624294434692956296e-09
1.516206287198312202e-03   1.193275067515214261e-05   7.730281788772407121e-09
1.528301895176045191e-03   1.184928478429524949e-05   7.886424821047579282e-09
1.540493996443369857e-03   1.210776167921184881e-05   8.044044618690721746e-09
1.552783360780105948e-03   1.208254101378817554e-05   8.156685823234628860e-09
1.565170764107029662e-03   1.225578518001211560e-05   8.363421144354955136e-09
1.577656988534861370e-03   1.234002824935195648e-05   8.445281191870926359e-09
1.590242822413647124e-03   1.239737304462516043e-05   8.679913011496142287e-09
1.602929060382533291e-03   1.259749028037665732e-05   8.759273053496817766e-09
1.615716503419937795e-03   1.255798751024417386e-05   8.989915027305787028e-09
1.628605958894122291e-03   1.283132178761732420e-05   9.099598159371091646e-09
1.641598240614166801e-03   1.275683041941106753e-05   9.296597106620053246e-09
1.654694168881352652e-03   1.302920657689288522e-05   9.460513304108993073e-09
1.667894570540953301e-03   1.299801295503953737e-05   9.609043407624926886e-09
1.681200279034440184e-03   1.319603901392475956e-05   9.831812552804877406e-09
1.694612134452103602e-03   1.326828537038414189e-05   9.938884175505835418e-09
1.708130983586094278e-03   1.335218722992760524e-05   1.020301725005001810e-08
1.721757679983887531e-03   1.354263748820032179e-05   1.029571024820656271e-08
1.735493084002174852e-03   1.352463199714020851e-05   1.056788399141402090e-08
1.749338062861183945e-03   1.379543911428966271e-05   1.068312219158901546e-08
1.763293490699433105e-03   1.373484908985975693e-05   1.092737092563166361e-08
1.777360248628922753e-03   1.401213501507223129e-05   1.109708505220859360e-08
1.791539224790764323e-03   1.398892574062880994e-05   1.128975875142676963e-08
1.805831314411262146e-03   1.419612317802152515e-05   1.152738081171162699e-08
1.820237419858427045e-03   1.427451427466909015e-05   1.166774082192792847e-08
1.834758450698953988e-03   1.436754826662545891e-05   1.196170630865165956e-08
1.849395323755650966e-03   1.456618200311538920e-05   1.207354043465331416e-08
1.864148963165322605e-03   1.455439194829724499e-05   1.239085012595827603e-08
1.879020300437119536e-03   1.483688295144680975e-05   1.251397793336321165e-08
1.894010274511351158e-03   1.477977918999167667e-05   1.281286091787191276e-08
1.909119831818767432e-03   1.507041652942840881e-05   1.298752481668288891e-08
1.924349926340315330e-03   1.505122890838806924e-05   1.323443263091350322e-08
1.939701519667369955e-03   1.526918719351089796e-05   1.348466514132417697e-08
1.955175581062447692e-03   1.535680977292408283e-05   1.366878964263456193e-08
1.970773087520402700e-03   1.545361822911643198e-05   1.399158963053646124e-08
1.986495023830112377e-03   1.567012046096587951e-05   1.413075945060448327e-08
2.002342382636654403e-03   1.565329910986474924e-05   1.449587649511264462e-08
2.018316164503979483e-03   1.596203675565335489e-05   1.463091450764008465e-08
2.034417377978085632e-03   1.589369393283511899e-05   1.499192287823305295e-08
2.050647039650694246e-03   1.621404565978205094e-05   1.517114919295849458e-08
2.067006174223435296e-03   1.618432909324874199e-05   1.548387187352178191e-08
2.083495814572546012e-03   1.642715093602322557e-05   1.574359749371471209e-08
2.100117001814081740e-03   1.651385425071892201e-05   1.598468622773457161e-08
2.116870785369651987e-03   1.662219635139230317e-05   1.633352905947440644e-08
2.133758223032676451e-03   1.685441618188367568e-05   1.651152974046180753e-08
2.150780381035172304e-03   1.683121139816186625e-05   1.692526021344886281e-08
2.167938334115074046e-03   1.717366533994730063e-05   1.707914581352799671e-08
2.185233165584088942e-03   1.708339093993824405e-05   1.750881954785303555e-08
2.202665967396095006e-03   1.744924390316713174e-05   1.769384492860682521e-08
2.220237840216084547e-03   1.739181025676853333e-05   1.808466435558198768e-08
2.237949893489657189e-03   1.767934761522536657e-05   1.835061671359891404e-08
2.255803245513068010e-03   1.774683025388782903e-05   1.866438594498321644e-08
