# 120 point Hankel filter, J0
# ===========================
#
#
# > Guptasarma, D. and B. Singh, 1997;
# > New digital linear filters for Hankel J0 and J1 transforms;
# > Geophysical Prospecting, 45(5), 745-762;
# > DOI: 10.1046/j.1365-2478.1997.500292.x
#
#
# Copyright 1997 D. Guptasarma and B. Singh
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                j0
4.08789752111e-09   9.62801364263e-07
5.03410937187e-09  -5.02069203805e-06
6.19933768817e-09   1.25268783953e-05
7.63427747253e-09  -1.99324417376e-05
9.40135792873e-09   2.29149033546e-05
1.15774585378e-08  -2.04737583809e-05
1.42572538148e-08   1.49952002937e-05
1.75573322658e-08  -9.37502840980e-06
2.16212687446e-08   5.20156955323e-06
2.66258708925e-08  -2.62939890538e-06
3.27888714191e-08   1.26550848081e-06
4.03784008898e-08  -5.73156151923e-07
4.97246531478e-08   2.76281274155e-07
6.12342508910e-08  -1.09963734387e-07
7.54079364020e-08   7.38038330280e-08
9.28623570906e-08  -9.31614600001e-09
1.14356893662e-07   3.87247135578e-08
1.40826698113e-07   2.10303178461e-08
1.73423378918e-07   4.10556513877e-08
2.13565103481e-07   4.13077946246e-08
2.62998297630e-07   5.68828741789e-08
3.23873626491e-07   6.59543638130e-08
3.98839562391e-07   8.40811858728e-08
4.91157610615e-07   1.01532550003e-07
6.04844206073e-07   1.26437360082e-07
7.44845454318e-07   1.54733678097e-07
9.17252319270e-07   1.91218582499e-07
1.12956561973e-06   2.35008851918e-07
1.39102236371e-06   2.89750329490e-07
1.71299761833e-06   3.56550504341e-07
2.10949939911e-06   4.39299297826e-07
2.59777810970e-06   5.40794544880e-07
3.19907704647e-06   6.66136379541e-07
3.93955661995e-06   8.20175040653e-07
4.85143250267e-06   1.01015545059e-06
5.97437722022e-06   1.24384500153e-06
7.35724616385e-06   1.53187399787e-06
9.06020311746e-06   1.88633707689e-06
1.11573377731e-05   2.32307100992e-06
1.37398891138e-05   2.86067883258e-06
1.69202149024e-05   3.52293208580e-06
2.08366799741e-05   4.33827546442e-06
2.56596760057e-05   5.34253613351e-06
3.15990346609e-05   6.57906223200e-06
3.89131566305e-05   8.10198829111e-06
4.79202537420e-05   9.97723263578e-06
5.90121932410e-05   1.22867312381e-05
7.26715465628e-05   1.51305855976e-05
8.94925843250e-05   1.86329431672e-05
1.10207130961e-04   2.29456891669e-05
1.35716403837e-04   2.82570465155e-05
1.67130222062e-04   3.47973610445e-05
2.05815290834e-04   4.28521099371e-05
2.53454661990e-04   5.27705217882e-05
3.12120957700e-04   6.49856943660e-05
3.84366542997e-04   8.00269662180e-05
4.73334570239e-04   9.85515408752e-05
5.82895726658e-04   1.21361571831e-04
7.17816634405e-04   1.49454562334e-04
8.83967229580e-04   1.84045784500e-04
1.08857614260e-03   2.26649641428e-04
1.34054519056e-03   2.79106748890e-04
1.65083666417e-03   3.43716968725e-04
2.03295025857e-03   4.23267056591e-04
2.50351039780e-03   5.21251001943e-04
3.08298950525e-03   6.41886194381e-04
3.79659868713e-03   7.90483105615e-04
4.67538457934e-03   9.73420647376e-04
5.75758007788e-03   1.19877439042e-03
7.09026771824e-03   1.47618560844e-03
8.73142807155e-03   1.81794224454e-03
1.07524622762e-02   2.23860214971e-03
1.32412984513e-02   2.75687537633e-03
1.63062171411e-02   3.39471308297e-03
2.00805622220e-02   4.18062141752e-03
2.47285422279e-02   5.14762977308e-03
3.04523744882e-02   6.33918155348e-03
3.75010828953e-02   7.80480111772e-03
4.61813320622e-02   9.61064602702e-03
5.68707692254e-02   1.18304971234e-02
7.00344543533e-02   1.45647517743e-02
8.62450932767e-02   1.79219149417e-02
1.06207954113e-01   2.20527911163e-02
1.30791551013e-01   2.71124775541e-02
1.61065430168e-01   3.33214363101e-02
1.98346702016e-01   4.08864842127e-02
2.44257344110e-01   5.01074356716e-02
3.00794767672e-01   6.12084049407e-02
3.70418717967e-01   7.45146949048e-02
4.56158289195e-01   9.00780900611e-02
5.61743709777e-01   1.07940155413e-01
6.91768631521e-01   1.27267746478e-01
8.51889983329e-01   1.46676027814e-01
1.04907408435e+00   1.62254276550e-01
1.29189972414e+00   1.68045766353e-01
1.59093139571e+00   1.52383204788e-01
1.95917891968e+00   1.01214136498e-01
2.41266345592e+00  -2.44389126667e-03
2.97111452817e+00  -1.54078468398e-01
3.65882838646e+00  -3.03214415655e-01
4.50572505187e+00  -2.97674373379e-01
5.54865003185e+00   7.93541259524e-03
6.83297733916e+00   4.26273267393e-01
8.41458355628e+00   1.00032384844e-01
1.03622788297e+01  -4.94117404043e-01
1.27608005585e+01   3.92604878741e-01
1.57145000217e+01  -1.90111691178e-01
1.93518823369e+01   7.43654896362e-02
2.38311972676e+01  -2.78508428343e-02
2.93473241167e+01   1.09992061155e-02
3.61402502417e+01  -4.69798719697e-03
4.45055120644e+01   2.12587632706e-03
5.48070528252e+01  -9.81986734159e-04
6.74930564788e+01   4.44992546836e-04
8.31154466084e+01  -1.89983519162e-04
1.02353898687e+02   7.31024164292e-05
1.26045410377e+02  -2.40057837293e-05
1.55220716367e+02   6.23096824846e-06
1.91149132026e+02  -1.12363896552e-06
2.35393776871e+02   1.04470606055e-07
