# 47 point Hankel filter, J1
# ==========================
#
#
# > Guptasarma, D. and B. Singh, 1997;
# > New digital linear filters for Hankel J0 and J1 transforms;
# > Geophysical Prospecting, 45(5), 745-762;
# > DOI: 10.1046/j.1365-2478.1997.500292.x
#
#
# Copyright 1997 D. Guptasarma and B. Singh
#
# This work is licensed under a CC BY 4.0 license.
# <http://creativecommons.org/licenses/by/4.0/>.
#
# This file is part of libdlf.
#
#
# base                j1
8.89647830567e-04   3.17926147465e-06
1.14767027689e-03  -9.73811660718e-06
1.48052636020e-03   1.64866227408e-05
1.90991990243e-03  -1.81501261160e-05
2.46384943338e-03   1.87556556369e-05
3.17843382995e-03  -1.46550406038e-05
4.10026744107e-03   1.53799733803e-05
5.28945826395e-03  -6.95628273934e-06
6.82354727545e-03   1.41881555665e-05
8.80256447765e-03   3.41445665537e-06
1.13555513365e-02   2.13941715512e-05
1.46489749076e-02   2.34962369042e-05
1.88975822911e-02   4.84340283290e-05
2.43784031786e-02   7.33732978590e-05
3.14488135246e-02   1.27703784430e-04
4.05698381826e-02   2.08120025730e-04
5.23362119487e-02   3.49803898913e-04
6.75151591391e-02   5.79107814687e-04
8.70964203148e-02   9.65887918451e-04
1.12356788140e-01   1.60401273703e-03
1.44943360423e-01   2.66903777685e-03
1.86980938832e-01   4.43111590040e-03
2.41210576218e-01   7.35631696247e-03
3.11168306475e-01   1.21782796293e-02
4.01415711004e-01   2.01097829218e-02
5.17837355824e-01   3.30096953061e-02
6.68024493649e-01   5.37143591532e-02
8.61770050184e-01   8.60516613299e-02
1.11170717010e+00   1.34267607144e-01
1.43413295901e+00   2.00125033067e-01
1.85007113333e+00   2.74027505792e-01
2.38664286800e+00   3.18168749246e-01
3.07883522787e+00   2.41655667461e-01
3.97178249308e+00  -5.40549161658e-02
5.12370913181e+00  -4.46912952135e-01
6.60972631637e+00  -1.92231885629e-01
8.52672953389e+00   5.52376753950e-01
1.09997166394e+01  -3.57429049025e-01
1.41899383188e+01   1.41510519002e-01
1.83054124114e+01  -4.61421935309e-02
2.36144876757e+01   1.48273761923e-02
3.04633414237e+01  -5.07479209193e-03
3.92985519498e+01   1.83829713749e-03
5.06962175907e+01  -6.67742804324e-04
6.53995211143e+01   2.21277518118e-04
8.43671888209e+01  -5.66248732755e-05
1.08836004122e+02   7.88229202853e-06
